Gender,acc,acq,acs,acu,ape,apf,api
Female,462.463,425.38558,408.87208,485.9869,461.83984,456.38728,478.97648
Female,299.97664,331.60148,276.76432,394.8512,348.73812,298.73032,332.06886
Male,287.981,334.40568,255.4214,367.27684,290.4736,302.78082,380.98614
Female,364.31686,398.43434,357.618,403.7311,383.7903,366.18632,396.5649
Male,352.08756,367.5105,296.31562,405.36688,354.58016,300.98924,384.49136
Male,359.48744,373.04096,346.08972,446.10532,367.89998,356.3717,420.40036
Female,437.4591,383.71242,357.6959,381.6872,407.08054,372.9631,386.04922
Male,455.0631,379.81774,420.63404,387.60712,448.20844,426.554,431.69496
Female,418.6088,446.02742,431.2276,478.11964,427.17714,458.49042,443.6906
Female,530.62004,488.71318,512.86024,498.06044,514.57392,516.28758,521.58436
Female,425.77506,410.50784,361.4348,460.2041,422.50352,419.23198,445.09268
Male,243.42578,206.03676,154.6269,257.44664,189.99066,239.5311,233.61116
Female,572.83846,572.68266,532.02212,577.66784,572.52688,540.59044,597.14128
Male,340.40348,321.39742,341.02664,361.74636,318.12586,332.14676,317.9701
Female,417.75196,456.69886,388.9313,464.9556,449.53264,433.33076,448.28636
Female,432.94128,411.131,413.00048,467.68188,436.3686,403.03006,450.23368
Male,450.70104,417.51832,411.131,481.23538,420.16672,371.4052,396.01962
Female,441.89904,458.8799,425.85294,450.31156,450.15578,471.03134,433.95388
Female,552.1966,588.65088,511.0687,565.75012,556.87024,551.41766,529.14006
Male,543.93988,533.96946,465.26718,537.241,532.87896,536.92944,492.52998
Female,411.36468,433.17494,354.03492,429.12448,394.07228,360.4222,419.46566
Female,541.68096,470.9534,490.73844,542.30408,495.10048,494.32156,524.54432
Male,571.1248,520.18226,478.89856,511.76976,523.14222,559.9081,481.39118
Female,444.39164,419.46564,451.86946,467.44822,457.01044,475.39338,502.34462
Male,522.3633,539.6557,453.66098,503.51302,518.46862,490.27106,523.6096
Male,522.75276,502.6562,474.45864,483.65012,486.45428,466.82506,460.1262
Female,532.87896,508.7319,470.0966,455.29678,525.08958,520.72754,506.23932
Male,481.85852,483.57222,496.50256,472.82286,496.81414,485.44168,479.05436
Female,590.67612,574.47422,527.11482,557.80496,543.93988,551.10608,585.53514
Male,524.07694,493.23102,452.41468,520.80544,481.07958,491.82894,475.15968
Female,512.54868,531.24318,488.55738,575.17526,573.61738,529.52952,493.69838
Male,578.05734,574.00686,544.25142,576.03208,565.43854,603.29492,566.37328
